Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),NCBI gene ID
ENSG00000268991,1,16539066,16539575,100133301
ENSG00000058673,1,203795654,203854999,9877
ENSG00000133055,1,203167811,203175813,4608
ENSG00000174059,1,207880972,207911402,947
ENSG00000163431,1,201896452,201946588,25802
ENSG00000117834,1,48222685,48248644,200010
ENSG00000143119,1,110873154,110899928,963
ENSG00000116962,1,235975830,236065162,4811
ENSG00000117335,1,207752057,207795513,4179
ENSG00000116353,1,29192873,29230942,51102
ENSG00000021852,1,56929210,56966140,732
ENSG00000160803,1,156035301,156053794,56893
ENSG00000162885,1,235449923,235504481,148789
ENSG00000250719,1,46175486,46176478,110117498
ENSG00000117461,1,46040140,46133036,8503
ENSG00000215883,1,54169651,54200036,
ENSG00000256407,1,54132686,54200073,
ENSG00000143001,1,54980792,54992293,199964
ENSG00000184677,1,22451851,22531157,9923
ENSG00000081019,1,113761832,113812476,54665
ENSG00000212916,1,232804892,232808407,54627
ENSG00000134202,1,109733932,109741038,2947
ENSG00000143164,1,167935783,168075843,55827
ENSG00000116793,1,113696831,113759489,10745
ENSG00000270276,1,149854045,149861210,554313
ENSG00000117016,1,40620679,40665657,9783
ENSG00000143320,1,156699606,156705816,1382
ENSG00000118292,1,150268200,150280916,79630
ENSG00000162736,1,160343272,160358952,23385
ENSG00000182004,1,203861603,203870550,6635
ENSG00000162735,1,160276812,160286348,5824
ENSG00000162373,1,48727523,48776969,79656
ENSG00000077585,1,236142505,236221865,7107
ENSG00000198700,1,201829141,201884294,55705
ENSG00000204219,1,23381061,23424740,6920
ENSG00000116703,1,186443566,186461122,5132
ENSG00000184588,1,65792514,66374579,5142
ENSG00000183814,1,226231149,226309869,286826
ENSG00000117480,1,46394265,46413848,2166
ENSG00000116918,1,231528653,231566524,7257
ENSG00000134258,1,117143587,117210960,79679
ENSG00000116690,1,186296279,186314562,10216
ENSG00000243709,1,225886282,225911382,10637
ENSG00000118200,1,200739558,200860704,23271
ENSG00000134744,1,52408282,52553487,23318
ENSG00000134183,1,109603267,109619929,2780
ENSG00000160051,1,32205661,32208687,55721
ENSG00000116984,1,236795281,236903981,4548
ENSG00000116786,1,15684332,15734769,23207
ENSG00000143815,1,225401502,225428925,3930
ENSG00000134684,1,32775237,32818153,8565
ENSG00000077522,1,236686454,236764631,88
ENSG00000163399,1,116372668,116410261,476
ENSG00000271810,1,112702614,112711433,
ENSG00000143862,1,202133404,202144743,127829
ENSG00000158747,1,19640554,19658456,4681
ENSG00000118217,1,161766294,161964070,22926
ENSG00000172260,1,71395940,72282734,257194
ENSG00000136630,1,220879400,220885059,3142
ENSG00000143507,1,221701424,221742176,11221
ENSG00000116138,1,15526813,15592379,23341
ENSG00000134222,1,109279556,109283186,84722
ENSG00000116771,1,15572353,15585110,79814
ENSG00000160072,1,1471769,1497848,83858
ENSG00000263513,1,143955364,143971965,554282
ENSG00000158488,1,158353696,158357553,913
ENSG00000121481,1,185045364,185102608,6045
ENSG00000162746,1,161721563,161728143,127943
ENSG00000173218,1,115641953,115698224,81839
ENSG00000185523,1,212830141,212847649,149643
ENSG00000143771,1,224356850,224379459,29097
ENSG00000162769,1,212858255,212899363,28982
ENSG00000069424,1,5991466,6101193,8514
ENSG00000135776,1,229516582,229558695,23456
ENSG00000142949,1,43525187,43623666,5792
ENSG00000198830,1,26472450,26475972,3151
ENSG00000132485,1,71063291,71081297,9406
ENSG00000135801,1,229593111,229626047,27097
ENSG00000271567,1,144372875,144373659,730262
ENSG00000121486,1,185118098,185157072,81627
ENSG00000135763,1,229626234,229660199,9816
ENSG00000197785,1,1512151,1534687,55210
ENSG00000131697,1,5862811,5992473,261734
ENSG00000143494,1,212950520,212992037,79805
ENSG00000143512,1,222522258,222548103,79802
ENSG00000163485,1,203090654,203167405,134
ENSG00000143774,1,228139962,228148984,2987
ENSG00000162851,1,246540560,246566324,64216
ENSG00000185420,1,245749342,246507312,64754
ENSG00000222009,1,44808482,44815585,149478
ENSG00000142959,1,44783585,44787705,266675
ENSG00000169641,1,23084023,23177808,7798
ENSG00000154342,1,228007051,228061260,89780
ENSG00000117407,1,43933320,43937241,9048
ENSG00000173369,1,22652762,22661538,713
ENSG00000117360,1,150321476,150353195,9129
ENSG00000118194,1,201359008,201377762,7139
ENSG00000117650,1,211658657,211675630,4751
ENSG00000198892,1,201888680,201892306,149345
ENSG00000186564,1,47436017,47440691,2306
ENSG00000143105,1,110517217,110519175,3744
ENSG00000125945,1,23359448,23369442,80818
ENSG00000168679,1,110362848,110391082,9122
ENSG00000004487,1,23019448,23083689,23028
ENSG00000117013,1,40784012,40840452,9132
ENSG00000153187,1,244840638,244864560,3192
ENSG00000198520,1,44674692,44725591,339541
ENSG00000086015,1,45786987,46036124,23139
ENSG00000172410,1,66797741,66801256,10022
ENSG00000152760,1,66752459,66778787,200132
ENSG00000123843,1,207088842,207099993,725
ENSG00000143033,1,93079235,93139081,22823
ENSG00000132704,1,157745733,157777132,79368
ENSG00000173660,1,46303631,46316776,7388
ENSG00000116748,1,114673090,114695618,270
ENSG00000162852,1,246566444,246668584,163882
ENSG00000132128,1,46261196,46303608,10489
ENSG00000253831,1,157092044,157099808,440695
ENSG00000171793,1,40979335,41012565,1503
ENSG00000179546,1,23191895,23194729,3352
ENSG00000143155,1,168178933,168202114,261726
ENSG00000162552,1,22117305,22143969,54361
ENSG00000132718,1,155859509,155885199,23208
ENSG00000162378,1,52726467,52827342,79699
ENSG00000081248,1,201039512,201112566,779
ENSG00000097046,1,91500893,91525764,8317
ENSG00000162377,1,52684451,52698366,65260
ENSG00000132692,1,156641390,156659532,63827
ENSG00000159377,1,151399534,151401944,5692
ENSG00000283039,1,44137821,44141631,
ENSG00000116525,1,33145402,33182059,55223
ENSG00000258465,1,160217464,160285130,
ENSG00000170385,1,211571568,211578742,7779
ENSG00000082512,1,211326615,211374946,7188
ENSG00000132698,1,156061160,156070514,57111
ENSG00000143450,1,151762899,151771334,51686
ENSG00000188396,1,44805913,44806675,343521
ENSG00000117479,1,169463909,169486003,10560
ENSG00000159023,1,28887091,29120046,2035
ENSG00000162366,1,47183593,47191044,10158
ENSG00000142945,1,44739818,44767767,11004
ENSG00000081692,1,227730425,227735411,65094
ENSG00000136631,1,150067293,150145327,11311
ENSG00000120656,1,28589323,28643085,6883
ENSG00000116205,1,54053587,54112519,127428
ENSG00000121644,1,244652935,244709033,51029
ENSG00000132185,1,161706972,161714352,84824
ENSG00000053371,1,19303965,19312146,8574
ENSG00000173627,1,183646404,183653316,403314
ENSG00000175756,1,1373730,1375495,54998
ENSG00000198198,1,43389882,43454247,23334
ENSG00000154370,1,228393673,228406840,81559
ENSG00000031698,1,109213918,109238169,6301
ENSG00000196539,1,248473351,248474307,343173
ENSG00000162551,1,21509372,21578412,249
ENSG00000198128,1,248046836,248063407,391192
ENSG00000067704,1,220094102,220148041,55699
ENSG00000197454,1,248013660,248024276,81466
ENSG00000263353,1,120889746,120890405,653505
ENSG00000221888,1,247754846,247760556,26188
ENSG00000171729,1,15152532,15220480,55092
ENSG00000159479,1,43383917,43389808,112950
ENSG00000204480,1,13369067,13371693,645414
ENSG00000117222,1,205086142,205122015,5929
ENSG00000270601,1,13254212,13263314,343068
ENSG00000070785,1,44850522,44986722,8891
ENSG00000162434,1,64833229,64966504,3716
ENSG00000174529,1,205083129,205084460,388730
ENSG00000066027,1,212285537,212361863,5525
ENSG00000132716,1,160215715,160262531,50717
ENSG00000076356,1,208022242,208244320,5362
ENSG00000158710,1,159918107,159925732,8407
ENSG00000143125,1,110451200,110457354,84432
ENSG00000171806,1,169792529,169794966,92342
ENSG00000174307,1,201464383,201469237,23612
ENSG00000168243,1,235547687,235650754,2786
ENSG00000169242,1,155127460,155134857,1942
ENSG00000243364,1,155063731,155069553,1945
ENSG00000117419,1,44221070,44355260,79033
ENSG00000143799,1,226360691,226408079,142
ENSG00000168765,1,109656081,109674836,2948
ENSG00000178585,1,9848276,9910336,56998
ENSG00000203668,1,241628853,241640254,1122
ENSG00000117009,1,241532134,241595642,8564
ENSG00000150337,1,149782671,149792518,2209
ENSG00000116209,1,54026681,54053504,9528
ENSG00000162843,1,241652278,241802133,128025
ENSG00000125703,1,62784135,62865513,84938
ENSG00000188004,1,159834474,159855347,
ENSG00000263464,1,149583865,149584464,653598
ENSG00000162517,1,31629862,31644896,553115
ENSG00000158714,1,159826750,159837249,56833
ENSG00000121764,1,31617686,31632518,3061
ENSG00000162391,1,54609182,54623556,338094
ENSG00000079277,1,46557408,46616843,8569
ENSG00000117450,1,45511036,45523047,5052
ENSG00000143502,1,223220819,223364202,55061
ENSG00000280670,1,45493866,45500079,
ENSG00000158615,1,204403387,204411791,84919
ENSG00000188783,1,203475828,203491352,5549
ENSG00000143318,1,160190556,160201886,844
ENSG00000085552,1,159927039,159945604,57549
ENSG00000143473,1,210676823,211134180,3756
ENSG00000159658,1,46675159,46719064,9813
ENSG00000135778,1,232950605,232983882,84284
ENSG00000097021,1,6264269,6394391,11332
ENSG00000143321,1,156742107,156766925,3068
ENSG00000117020,1,243488233,243851079,10000
ENSG00000143294,1,156750610,156800817,5546
ENSG00000092969,1,218346235,218444619,7042
ENSG00000130772,1,28329002,28335967,54797
ENSG00000203685,1,226548800,226609214,375057
ENSG00000271723,1,54641786,54742308,
ENSG00000091483,1,241497603,241519761,2271
ENSG00000065183,1,117929720,117966542,10885
ENSG00000197587,1,46506996,46514226,127343
ENSG00000142910,1,31576485,31587686,64129
ENSG00000213088,1,159203307,159206500,2532
ENSG00000077254,1,77695987,77759852,23032
ENSG00000132763,1,45500053,45513382,25974
ENSG00000171608,1,9651732,9729114,5293
ENSG00000135766,1,231363751,231425044,54583
ENSG00000143416,1,151364302,151372733,8991
ENSG00000188807,1,9588922,9614873,199953
ENSG00000077157,1,202348699,202592706,4660
ENSG00000152104,1,214348696,214552449,5784
ENSG00000133056,1,204422628,204494724,5287
ENSG00000170498,1,204190341,204196486,3814
ENSG00000143476,1,212035553,212107400,51514
ENSG00000143669,1,235661041,235883640,1130
ENSG00000163518,1,157573749,157598080,83417
ENSG00000171357,1,46203334,46221261,541468
ENSG00000085998,1,46188682,46220305,55624
ENSG00000116350,1,29147743,29181987,6429
ENSG00000122406,1,92832025,92841924,6125
ENSG00000162600,1,58415384,58546802,115209
ENSG00000174175,1,169588849,169630193,6403
ENSG00000117425,1,44819844,44843063,8643
ENSG00000203666,1,244969705,245127164,84288
ENSG00000143382,1,150549369,150560937,54507
ENSG00000143384,1,150574551,150579738,4170
ENSG00000187889,1,56718804,56819696,199920
ENSG00000117036,1,157121191,157138474,2117
ENSG00000162409,1,56645322,56715335,5563
ENSG00000162910,1,228106679,228109312,128308
ENSG00000162775,1,110338506,110346681,64783
ENSG00000179862,1,40861051,40862366,163732
ENSG00000187800,1,156893698,156916434,375033
ENSG00000186150,1,110112468,110113945,164153
ENSG00000143816,1,227918656,227947898,7483
ENSG00000162402,1,55066359,55215113,23358
ENSG00000187048,1,46929177,46941484,1579
ENSG00000168710,1,109984686,110023741,10768
ENSG00000215788,1,6461151,6466195,8718
ENSG00000070886,1,22563564,22603594,2046
ENSG00000198400,1,156815640,156881850,4914
ENSG00000143375,1,151510510,151538692,57530
ENSG00000130939,1,10032832,10181239,10277
ENSG00000198625,1,204516379,204558120,4194
ENSG00000188770,1,203494143,203508864,26254
ENSG00000116977,1,236518000,236552981,3964
ENSG00000159176,1,201483530,201509456,1465
ENSG00000230667,1,92074533,92075441,646817
ENSG00000159166,1,201373244,201399915,3898
ENSG00000143178,1,168281040,168314426,9095
ENSG00000172031,1,92029982,92063536,253152
ENSG00000117594,1,209686178,209734950,3290
ENSG00000179456,1,244048939,244057476,10472
ENSG00000116584,1,155946851,156007070,9181
ENSG00000121904,1,33513999,34165842,114784
ENSG00000142973,1,46757838,46819413,1580
ENSG00000143314,1,156737303,156741590,79590
ENSG00000203814,1,149782689,149812373,440689
ENSG00000256029,1,159857900,159873053,
ENSG00000132703,1,159587825,159588865,325
ENSG00000081026,1,113390749,113685923,260425
ENSG00000182901,1,240775515,241357230,6000
ENSG00000160714,1,154548577,154559028,55585
ENSG00000116251,1,6181269,6209389,6146
ENSG00000171872,1,44118850,44135140,128209
ENSG00000196550,1,206186179,206204414,554282
ENSG00000196550,1,206186179,206204414,728833
ENSG00000196550,1,206186179,206204414,729533
ENSG00000116212,1,53946077,53968168,115353
ENSG00000116514,1,32936445,32964685,127544
ENSG00000198626,1,237042205,237833988,6262
ENSG00000235710,1,231184098,231187627,149373
ENSG00000119283,1,231162112,231221556,440730
ENSG00000143845,1,204131062,204152003,55224
ENSG00000117500,1,93149742,93180728,50999
ENSG00000117505,1,93345888,93369498,1810
ENSG00000134255,1,111139627,111185102,10390
ENSG00000143401,1,150218417,150236156,81611
ENSG00000162761,1,165201867,165356715,4009
ENSG00000182827,1,226144679,226186730,64746
ENSG00000162706,1,159171609,159203313,57863
ENSG00000121769,1,31365625,31376850,2170
ENSG00000116254,1,6101793,6180123,26038
ENSG00000176022,1,1232265,1235041,126792
ENSG00000270188,1,237943724,237945275,
ENSG00000117724,1,214603195,214664588,1063
ENSG00000116996,1,237877864,237890922,57829
ENSG00000143061,1,116574399,116667755,3321
ENSG00000163564,1,158930796,158977054,149628
ENSG00000117713,1,26693236,26782104,8289
ENSG00000126091,1,43705824,43931165,6487
ENSG00000137976,1,84398532,84415018,58511
ENSG00000117707,1,213983181,214041502,5629
ENSG00000057468,1,75796882,75913238,4438
ENSG00000196581,1,4654732,4792534,55966
ENSG00000134198,1,115048011,115089500,10100
ENSG00000142875,1,84078062,84238498,5567
ENSG00000159388,1,203305491,203309602,7832
ENSG00000133048,1,203178931,203186749,1116
ENSG00000122483,1,93179919,93278730,343099
ENSG00000064886,1,111200771,111243440,1117
ENSG00000160856,1,157674321,157700857,115352
ENSG00000186790,1,47416072,47418052,2301
ENSG00000007908,1,169722641,169764705,6401
ENSG00000173846,1,44800225,44805990,1263
ENSG00000160838,1,156920650,156933094,149499
ENSG00000125944,1,23303771,23344336,10236
ENSG00000116396,1,110211343,110283100,3749
ENSG00000143153,1,169105697,169132722,481
ENSG00000117153,1,202891100,202928636,59349
ENSG00000143801,1,226870184,226896105,5664
ENSG00000178096,1,149887890,149900798,51027
ENSG00000203995,1,52842511,52894998,440590
ENSG00000143479,1,206635536,206684419,8444
ENSG00000255835,1,225886696,225924278,
ENSG00000266028,1,206203345,206464443,23380
ENSG00000196187,1,225845536,225882369,9725
ENSG00000162702,1,200404940,200410056,23528
ENSG00000143850,1,204218851,204377665,22874
ENSG00000186094,1,48532855,50023913,84871
ENSG00000269113,1,47760528,47996895,388630
ENSG00000162368,1,47333797,47378839,51727
ENSG00000177301,1,110519837,110631474,3737
ENSG00000010803,1,41027200,41242154,22955
ENSG00000134248,1,110401249,110407942,10542
ENSG00000132768,1,43970000,43973369,1802
ENSG00000117322,1,207454230,207489895,1380
ENSG00000186377,1,47023568,47050751,260293
ENSG00000163479,1,156009048,156020959,6746
ENSG00000215906,1,22953043,22965338,646262
ENSG00000152763,1,66812885,66924887,79819
ENSG00000142698,1,34166883,34219131,84970
ENSG00000284188,1,244730375,244730962,
ENSG00000143184,1,168576473,168582077,6375
ENSG00000143185,1,168540765,168543997,6846
ENSG00000159348,1,202961869,202967280,51706
ENSG00000266472,1,150293720,150308979,54460
ENSG00000163050,1,226897536,226987545,56997
ENSG00000132780,1,45583846,45618904,4678
ENSG00000173673,1,6244192,6245578,390992
ENSG00000158292,1,6247346,6260975,387509
ENSG00000162441,1,9922113,9943407,84328
ENSG00000116580,1,155749662,155859400,54856
ENSG00000173614,1,9943428,9985501,64802
ENSG00000121310,1,52895910,52927212,55268
ENSG00000142224,1,206798870,206842981,29949
ENSG00000162891,1,206865354,206869223,50604
ENSG00000117010,1,40531561,40548169,127396
ENSG00000183598,1,149813271,149813681,653604
ENSG00000203811,1,149839538,149841193,126961
ENSG00000270882,1,149832659,149839767,8370
ENSG00000243725,1,54715822,54742657,7268
ENSG00000184313,1,54641754,54710266,374977
ENSG00000117139,1,202724491,202809470,10765
ENSG00000162892,1,206897443,206904139,11009
ENSG00000142669,1,26279176,26281522,83442
ENSG00000169442,1,26317957,26320523,1043
ENSG00000130695,1,26234153,26279038,64793
ENSG00000188782,1,26190561,26202968,378807
ENSG00000157064,1,183248237,183418602,23057
ENSG00000116721,1,12791397,12796628,65121
ENSG00000162636,1,108560089,108644900,284611
ENSG00000049246,1,7784320,7845177,8863
ENSG00000049247,1,7843083,7853512,10911
ENSG00000117586,1,173183734,173207313,7292
ENSG00000164011,1,42846573,42852477,51058
ENSG00000058453,1,16740273,16972979,9696
ENSG00000163155,1,151159748,151165948,388695
ENSG00000177628,1,155234452,155244699,2629
ENSG00000058668,1,203626561,203744081,493
ENSG00000122176,1,203340628,203351489,2331
ENSG00000143493,1,211940399,212035542,25896
ENSG00000117625,1,211258377,211316385,55758
ENSG00000086619,1,236215555,236281985,56605
ENSG00000134369,1,201622885,201826969,89796
ENSG00000160789,1,156082573,156140089,4000
ENSG00000088280,1,23428563,23484568,55616
ENSG00000123473,1,47250139,47314147,6491
ENSG00000154511,1,92832737,92961522,388650
ENSG00000143842,1,204073115,204127743,9580
ENSG00000018625,1,160115759,160143591,477
ENSG00000186197,1,236348257,236484914,128178
ENSG00000162728,1,160081570,160090563,3765
ENSG00000143653,1,246724047,246768137,51097
ENSG00000060656,1,29236516,29326813,10076
ENSG00000177272,1,110672465,110675033,3738
ENSG00000162367,1,47216290,47232220,6886
ENSG00000186160,1,47067488,47118319,199974
ENSG00000143793,1,228100726,228105411,79169
ENSG00000159173,1,201403768,201429866,7135
ENSG00000162365,1,47137435,47149741,284541
ENSG00000116329,1,28812142,28871267,
ENSG00000000457,1,169849631,169894267,57147
ENSG00000143369,1,150508062,150513789,1893
ENSG00000117472,1,46175073,46185958,10103
ENSG00000284686,1,56173433,56524495,
ENSG00000185888,1,227815693,227846470,339501
ENSG00000169174,1,55039548,55064852,255738
ENSG00000188910,1,34781189,34786369,2707
ENSG00000059588,1,234391313,234479103,6894
ENSG00000189195,1,92080305,92184725,
ENSG00000069712,1,92166985,92184723,23285
ENSG00000168275,1,234373456,234384049,388753
ENSG00000180098,1,28553085,28578545,54952
ENSG00000187513,1,34792998,34795747,2701
ENSG00000117475,1,169367970,169396540,8548
ENSG00000162396,1,54756898,54764514,25973
ENSG00000143367,1,151540305,151583583,7286
ENSG00000027644,1,156840063,156859018,3645
